PROJECT ID,PROJECT DESCRIPTION,REPOSITORY URL,BT STATIC ID,BT DYNAMIC ID,PRODUCTION URL,PLAYGROUND URL
agm,AGM Portal,https://github.com/ec-europa/agm-reference,82485,82484,https://ec.europa.eu/tools/agm,https://webgate.ec.europa.eu/playground-multisite/agm
agri-eip,EIP-AGRI Agriculture & innovation,https://github.com/ec-europa/agri-eip-reference,82487,82486,https://ec.europa.eu/eip/agriculture,https://webgate.ec.europa.eu/playground-multisite/agri-eip
amr,EU Action on Antimicrobial Resistance,https://github.com/ec-europa/amr-reference,82489,82488,https://ec.europa.eu/health/amr,https://webgate.ec.europa.eu/playground-multisite/amr
anti-fraud,OLAF European Anti-fraud Office,https://github.com/ec-europa/anti-fraud-reference,82491,82490,https://ec.europa.eu/anti-fraud,https://webgate.ec.europa.eu/playground-multisite/antifraud
antitrafficking,Together Against Trafficking in Human Beings,https://github.com/ec-europa/antitrafficking-reference,82493,82492,https://ec.europa.eu/anti-trafficking,https://webgate.ec.europa.eu/playground-multisite/antitrafficking
argiculture,Agriculture and rural development,https://github.com/ec-europa/argiculture-reference,82495,82494,https://ec.europa.eu/agriculture,https://webgate.ec.europa.eu/playground-multisite/agriculture
basext,BASEXT - Statistical portal of International data and metadata,https://github.com/ec-europa/basext-reference,82497,82496,https://webgate.ec.europa.eu/multisite/basext,https://webgate.ec.europa.eu/playground-multisite/basext
cem,Comm Europa Management,https://github.com/ec-europa/cem-reference,82499,82498,https://webgate.ec.europa.eu/multisite/cem,https://webgate.ec.europa.eu/playground-multisite/cem
chafea,CHAFEA Promotion of agricultural products,https://github.com/ec-europa/chafea-reference,82501,82500,https://ec.europa.eu/chafea/agri,https://webgate.ec.europa.eu/playground-multisite/chafea
cim,Children in Migration,https://github.com/ec-europa/cim-reference,82503,82502,https://webgate.ec.europa.eu/protecting-children-in-migration/,https://webgate.ec.europa.eu/playground-multisite/cim
cleanvehicule,Archived,https://github.com/ec-europa/cleanvehicule-reference,82505,82504,https://webgate.ec.europa.eu/multisite/cleanvehicle,https://webgate.ec.europa.eu/playground-multisite/cleanvehicule
clima,Climate Action,https://github.com/ec-europa/clima-reference,82507,82506,https://webgate.ec.europa.eu/multisite/clima,https://webgate.ec.europa.eu/playground-multisite/clima
comm-digitaltransformation-blog,EU Digital - Transforming online communication at the European Commission,https://github.com/ec-europa/comm-digitaltransformation-blog-reference,82509,82508,https://blogs.ec.europa.eu/eu-digital,https://webgate.ec.europa.eu/playground-multisite/comm-digitaltransformation-blog
commpo,COMMPO,https://github.com/ec-europa/commpo-reference,82511,82510,https://webgate.ec.europa.eu/multisite/commpo,https://webgate.ec.europa.eu/playground-multisite/commpo
consular-protection,Consular Protection,https://github.com/ec-europa/consular-protection-reference,82513,82512,https://ec.europa.eu/consularprotection,https://webgate.ec.europa.eu/playground-multisite/consular-protection
council,Archived,https://github.com/ec-europa/council-reference,82515,82514,,https://webgate.ec.europa.eu/playground-multisite/council
creativeeurope,Creative Europe - Supporting Europe's cultural and creative sectors,https://github.com/ec-europa/creativeeurope-reference,82517,82516,https://ec.europa.eu/programmes/creative-europe,https://webgate.ec.europa.eu/playground-multisite/creative-europe
crosportal,Collaboration in Research and Methodology for Official Statistics,https://github.com/ec-europa/crosportal-reference,82519,82518,https://ec.europa.eu/eurostat/cros,https://webgate.ec.europa.eu/playground-multisite/crosportal
culture,CULTURE - Supporting Europe's cultural and creative sectors,https://github.com/ec-europa/culture-reference,82521,82520,https://ec.europa.eu/culture,https://webgate.ec.europa.eu/playground-multisite/culture
daphne-toolkit,Projects funded under the Daphne Funding Programme,https://github.com/ec-europa/daphne-toolkit-reference,82525,82524,https://ec.europa.eu/justice/grants/results/daphne-toolkit,https://webgate.ec.europa.eu/playground-multisite/daphne-toolkit
devco,International Cooperation and Development,https://github.com/ec-europa/devco-reference,82527,82526,https://ec.europa.eu/europeaid,https://webgate.ec.europa.eu/playground-multisite/devco
digit-ict,DIGIT-ICT Conference,https://github.com/ec-europa/digit-ict-reference,82529,82528,https://ec.europa.eu/digit-ict,https://webgate.ec.europa.eu/playground-multisite/digit-ict
digital-agenda,Digital Single Market,https://github.com/ec-europa/digital-agenda-reference,82531,82530,https://ec.europa.eu/digital-single-market,https://webgate.ec.europa.eu/playground-multisite/digital-agenda
dm-trainet,European Disaster Management Training Network,https://github.com/ec-europa/dm-trainet-reference,82533,82532,https://webgate.ec.europa.eu/dm-training-network,https://webgate.ec.europa.eu/playground-multisite/dm-trainet
dms,EMPL - Direct Management Suite,https://github.com/ec-europa/dms-reference,141267,141269,https://webgate.ec.europa.eu/multisite/dms,https://webgate.ec.europa.eu/playground-multisite/dms
dt-brp,Better Regulation Policy,https://github.com/ec-europa/dt_brp_reference,82535,82534,https://ec.europa.eu/info/law/better-regulation,https://webgate.ec.europa.eu/playground-multisite/brp
dt-cwt,The Commissioners,https://github.com/ec-europa/dt_cwt_reference,82537,82536,https://ec.europa.eu/commission/commissioners,https://webgate.ec.europa.eu/playground-multisite/cwt
dt-info,"Your guide to policies, information and services",https://github.com/ec-europa/dt_info_reference,82539,82538,https://ec.europa.eu/info,https://webgate.ec.europa.eu/playground-multisite/info
dt-pol,The European Commission's priorities,https://github.com/ec-europa/dt_pol_reference,82541,82540,https://ec.europa.eu/commission,https://webgate.ec.europa.eu/playground-multisite/beta-political
eac-eqf,Learning Opportunities and Qualifications in Europe,https://github.com/ec-europa/eac-eqf-reference,82543,82542,https://ec.europa.eu/ploteus,https://webgate.ec.europa.eu/playground-multisite/eac-eqf
eac-eyp,European Youth Portal,https://github.com/ec-europa/eac-eyp-reference,82545,82544,https://europa.eu/youth,https://webgate.ec.europa.eu/playground-multisite/youth
eacea-site,"Education, Audiovisual and Culture Executive Agency",https://github.com/ec-europa/eacea-site-reference,82547,82546,https://eacea.ec.europa.eu/,https://webgate.ec.europa.eu/playground-multisite/eacea-site
easme-site,Executive Agency for Small and Medium-sized Enterprises,https://github.com/ec-europa/easme-site-reference,82549,82548,https://ec.europa.eu/easme,https://webgate.ec.europa.eu/playground-multisite/easme-site
echo-site,European Civil Protection and Humanitarian Aid Operations,https://github.com/ec-europa/echo-site-reference,82551,82550,https://ec.europa.eu/echo,https://webgate.ec.europa.eu/playground-multisite/echo-site
ecn-brief,European Competition Network,https://github.com/ec-europa/ecn-brief-reference,82553,82552,https://webgate.ec.europa.eu/multisite/ecn-brief,https://webgate.ec.europa.eu/playground-multisite/ecn-brief
eco-innovation-projects,Eco-innovation,https://github.com/ec-europa/eco-innovation-projects-reference,82555,82554,https://ec.europa.eu/environment/eco-innovation/projects,https://webgate.ec.europa.eu/playground-multisite/eco-innovation-projects
ecoap-stayconnected,Eco-innovation Action Plan,https://github.com/ec-europa/ecoap_stayconnected-reference,82557,82556,https://ec.europa.eu/environment/ecoap,https://webgate.ec.europa.eu/playground-multisite/ecoap_stayconnected
edpb,European Data Protection Board,https://github.com/ec-europa/edpb-reference,82559,82558,https://webgate.ec.europa.eu/multisite/edpb,https://webgate.ec.europa.eu/playground-multisite/edpb
edpsweb,European Data Protection Supervisor,https://github.com/ec-europa/edpsweb-reference,82561,82560,https://github.com/ec-europa/edpsweb-reference,https://webgate.ec.europa.eu/playground-multisite/edp
education2,Education and training,https://github.com/ec-europa/education2-reference,145375,145376,https://ec.europa.eu/education,https://webgate.ec.europa.eu/playground-multisite/education
eductraining,Education and training,https://github.com/ec-europa/eductraining-reference,82563,82562,https://ec.europa.eu/education,https://webgate.ec.europa.eu/playground-multisite/education
eeas,European Union External Action,https://github.com/ec-europa/eeas-reference,82565,82564,https://eeas.europa.eu,https://webgate.ec.europa.eu/playground-multisite/eeas
efsa,European Food Safety Authority,https://github.com/ec-europa/efsa-reference,136875,136870,http://www.efsa.europa.eu,https://webgate.ec.europa.eu/playground-multisite/efsa
eiopa,European Insurance and Occupational Pensions Authority,https://github.com/ec-europa/eiopa-reference,147514,147515,https://webgate.ec.europa.eu/multisite/eiopa,https://webgate.ec.europa.eu/playground-multisite/eiopa
eip-aha,European Innovation Partnership on Active and Healthy Ageing,https://github.com/ec-europa/eip-aha-reference,82567,82566,https://ec.europa.eu/eip/ageing,https://webgate.ec.europa.eu/playground-multisite/eipaha
ejtp,European Justice Training Platform,https://github.com/ec-europa/ejtp-reference,82569,82568,https://webgate.ec.europa.eu/multisite/ejtp,https://webgate.ec.europa.eu/playground-multisite/ejtp
ema,European Medicine Agency,https://github.com/ec-europa/ema-reference,147512,147513,https://webgate.ec.europa.eu/multisite/ema,https://webgate.ec.europa.eu/playground-multisite/ema
emnies,EMN IES - European Migration Network Information Exchange System Select your language,https://github.com/ec-europa/emnies-reference,82571,82570,https://webgate.ec.europa.eu/emn-ies,https://webgate.ec.europa.eu/playground-multisite/emnies
encasia,European Network of Civil Aviation Safety Investigation Authorities,https://github.com/ec-europa/encasia-reference,82573,82572,https://webgate.ec.europa.eu/multisite/encasia,https://webgate.ec.europa.eu/playground-multisite/encasia
ener,Energy,https://github.com/ec-europa/ener-reference,82575,82574,https://ec.europa.eu/energy,https://webgate.ec.europa.eu/playground-multisite/ener
enrd,The European Network for Rural Development (ENRD),https://github.com/ec-europa/enrd-reference,82577,82576,https://enrd.ec.europa.eu,https://webgate.ec.europa.eu/playground-multisite/enrd
env-efe,Environment for Europeans,https://github.com/ec-europa/env-efe-reference,82579,82578,https://ec.europa.eu/environment/efe,https://webgate.ec.europa.eu/playground-multisite/efe
epale,Electronic Platform for Adult Learning in Europe,https://github.com/ec-europa/epale-reference,82581,82580,https://ec.europa.eu/epale,https://webgate.ec.europa.eu/playground-multisite/epale
epsc,EPSC - European Political Strategy Centre,https://github.com/ec-europa/epsc-reference,82583,82582,https://ec.europa.eu/epsc,https://webgate.ec.europa.eu/playground-multisite/epsc
epso,European Personnel Selection Office,https://github.com/ec-europa/epso-reference,147510,147511,https://epso.europa.eu,https://webgate.ec.europa.eu/playground-multisite/epso
epsocontact,European Personnel Selection Office,https://github.com/ec-europa/epsocontact-reference,82585,82584,https://epso.europa.eu,https://webgate.ec.europa.eu/playground-multisite/epsocontact
era,European Union Agency for Railways,https://github.com/ec-europa/era-reference,82587,82586,https://webgate.ec.europa.eu/multisite/era,https://webgate.ec.europa.eu/playground-multisite/era
erasmusplus,Erasmus+,https://github.com/ec-europa/erasmusplus-reference,82589,82588,https://ec.europa.eu/programmes/erasmus-plus,https://webgate.ec.europa.eu/playground-multisite/erasmusplus
erasmusplus2,Erasmus+,https://github.com/ec-europa/erasmusplus2-reference,82591,82590,https://ec.europa.eu/programmes/erasmus-plus,https://webgate.ec.europa.eu/playground-multisite/
ersc,European Road Safety Charter,https://github.com/ec-europa/ersc-reference,82593,82592,https://webgate.ec.europa.eu/multisite/ersc,https://webgate.ec.europa.eu/playground-multisite/
esf-tc,European Social Fund - Transnationality,https://github.com/ec-europa/esf-tc-reference,82595,82594,https://ec.europa.eu/esf/transnationality,https://webgate.ec.europa.eu/playground-multisite/esf
euandme,EU AND ME,https://github.com/ec-europa/euandme-reference,141261,141263,https://webgate.ec.europa.eu/multisite/euandme,https://webgate.ec.europa.eu/playground-multisite/euandme
eu-aid,European Civil Protection and Humanitarian Aid Operations,https://github.com/ec-europa/eu-aid-reference,82597,82596,https://webgate.ec.europa.eu/echo/eu-aid-volunteers_en,https://webgate.ec.europa.eu/playground-multisite/eu-aid
eu-invest,EU investment,https://github.com/ec-europa/eu-invest-reference,82599,82598,https://europa.eu/investeu,https://webgate.ec.europa.eu/playground-multisite/investeu
euetfa,EU Emergency Trust Fund for Africa,https://github.com/ec-europa/euetfa-reference,82601,82600,https://webgate.ec.europa.eu/multisite/euetfa,https://webgate.ec.europa.eu/playground-multisite/euetfa
eufinance,EU finance,https://github.com/ec-europa/eufinance-reference,82603,82602,http://europa.eu/youreurope/business/funding-grants/access-to-finance/search,https://webgate.ec.europa.eu/playground-multisite/eufinance
euip,EU Immigration Portal,https://github.com/ec-europa/euip-reference,82605,82604,https://webgate.ec.europa.eu/multisite/immigration,https://webgate.ec.europa.eu/playground-multisite/
euprojects,EU Funded Projects,https://github.com/ec-europa/euprojects-reference,82607,82606,https://ec.europa.eu/budget/euprojects,https://webgate.ec.europa.eu/playground-multisite/euprojects
europaeu,Official website of the European Union,https://github.com/ec-europa/europaeu-reference,82609,82608,https://europa.eu/european-union,https://webgate.ec.europa.eu/playground-multisite/europaeu
europahub,Europa Hub,https://github.com/ec-europa/europahub-reference,82611,82610,https://webgate.ec.europa.eu/europa-hub/,https://webgate.ec.europa.eu/playground-multisite/europahub
eurydice,EACEA National Policies Platform (Eurydice),https://github.com/ec-europa/eurydice-reference,82613,82612,https://eacea.ec.europa.eu/national-policies/eurydice,https://webgate.ec.europa.eu/playground-multisite/eurydice
eusdgs,Sustainable Development Goals,https://github.com/ec-europa/eusdgs-reference,82615,82614,https://ec.europa.eu/sustainable-development,https://webgate.ec.europa.eu/playground-multisite/eusdgs
eusinglesky,Single European Sky Performance,https://github.com/ec-europa/eusinglesky-reference,82617,82616,https://webgate.ec.europa.eu/eusinglesky,https://webgate.ec.europa.eu/playground-multisite/eusinglesky
euvp,European Union Visitors Programme,https://github.com/ec-europa/euvp-reference,82619,82618,https://europa.eu/euvp,https://webgate.ec.europa.eu/playground-multisite/euvp
expert-pane,Health and Food Safety - Expert Panel on Effective ways of Investing in Health,https://github.com/ec-europa/expert-pane-reference,82621,82620,https://ec.europa.eu/health/expert_panel,https://webgate.ec.europa.eu/playground-multisite/expertpanel
eych,European Year of Cultural Heritage,https://github.com/ec-europa/eych-reference,82623,82622,https://webgate.ec.europa.eu/multisite/eych,https://webgate.ec.europa.eu/playground-multisite/eych
farnet,FARNET Fisheries Areas Network,https://github.com/ec-europa/farnet-reference,82625,82624,https://webgate.ec.europa.eu/fpfis/cms/farnet2,https://webgate.ec.europa.eu/playground-multisite/farnet
food-animals-plants,Food Safety,https://github.com/ec-europa/food-animals-plants-reference,82627,82626,https://ec.europa.eu/food,https://webgate.ec.europa.eu/playground-multisite/food
fpi,Service for Foreign Policy Instruments,https://github.com/ec-europa/fpi-reference,82629,82628,http://ec.europa.eu/dgs/fpi,https://webgate.ec.europa.eu/playground-multisite/fpi
fra,European Union Agency for Fundamental Rights,https://github.com/ec-europa/fra-reference,82631,82630,https://webgate.ec.europa.eu/multisite/fra,https://webgate.ec.europa.eu/playground-multisite/fra
funds,Archived,https://github.com/ec-europa/funds-reference,82633,82632,https://ec.europa.eu/archives/budget/funding,https://webgate.ec.europa.eu/playground-multisite/funds
futurium,Platform dedicated to European citizens for discussing EU policies,https://github.com/ec-europa/futurium-reference,82635,82634,https://ec.europa.eu/futurium,https://webgate.ec.europa.eu/playground-multisite/futurium
globalstrategy,EU Global Strategy,https://github.com/ec-europa/globalstrategy-reference,82637,82636,https://europa.eu/globalstrategy,https://webgate.ec.europa.eu/playground-multisite/globalstrategy
grid-communications-toolkit,Grid Infrastructure Communication Toolkit,https://github.com/ec-europa/grid-communications-toolkit-reference,82639,82638,https://webgate.ec.europa.eu/multisite/gridcommunicationstoolkit,https://webgate.ec.europa.eu/playground-multisite/gridcommunicationstoolkit
