PROJECT ID,PROJECT DESCRIPTION,REPOSITORY URL,BT STATIC ID,BT DYNAMIC ID,PRODUCTION URL,PLAYGROUND URL
growth,"GROWTH Internal Market, Industry, Entrepreneurship and SMEs",https://github.com/ec-europa/growth-reference,82641,82640,https://ec.europa.eu/growth,https://webgate.ec.europa.eu/playground-multisite/growth
health,Public Health,https://github.com/ec-europa/health-reference,82643,82642,https://ec.europa.eu/health,https://webgate.ec.europa.eu/playground-multisite/health
heli,Archived,https://github.com/ec-europa/heli-reference,82645,82644,https://webgate.ec.europa.eu/multisite/heli,https://webgate.ec.europa.eu/playground-multisite/heli
home-affairs,Migration and Home Affairs,https://github.com/ec-europa/home-affairs-reference,82647,82646,https://webgate.ec.europa.eu/multisite/homeaffairs,https://webgate.ec.europa.eu/playground-multisite/homeaffairs
horizon2020,Horizon 2020 - EU Research and Innovation programme,https://github.com/ec-europa/horizon2020-reference,82649,82648,https://ec.europa.eu/programmes/horizon2020,https://webgate.ec.europa.eu/playground-multisite/horizon2020
hr-contact,HR-CONTACT,https://github.com/ec-europa/hr-contact-reference,82651,82650,https://webgate.ec.europa.eu/multisite/hr-contact,https://webgate.ec.europa.eu/playground-multisite/hr-contact
iee-projects,Intelligent Energy Europe,https://github.com/ec-europa/iee-projects-reference,82653,82652,https://ec.europa.eu/energy/intelligent/projects,https://webgate.ec.europa.eu/playground-multisite/iee-projects
inforegio,INFOREGIO,https://github.com/ec-europa/inforegio-reference,147506,147507,https://webgate.ec.europa.eu/multisite/inforegio,https://webgate.ec.europa.eu/playground-multisite/inforegio
inea,Innovation and Networks Executive Agency,https://github.com/ec-europa/inea-reference,82655,82654,https://ec.europa.eu/inea,https://webgate.ec.europa.eu/playground-multisite/inea
inseparable,Fisheries - Inseparable,https://github.com/ec-europa/inseparable-reference,82657,82656,https://ec.europa.eu/fisheries/inseparable,https://webgate.ec.europa.eu/playground-multisite/inseparable
isa,"Interoperability solutions for public administrations, businesses and citizens",https://github.com/ec-europa/isa-reference,82659,82658,https://ec.europa.eu/isa2,https://webgate.ec.europa.eu/playground-multisite/isa
isadb,Archived,https://github.com/ec-europa/isadb-reference,82661,82660,,
jrc-hub,Archived,https://github.com/ec-europa/jrc-hub-reference,82663,82662,,
jrc-pilot,Archived,https://github.com/ec-europa/jrc-pilot-reference,82665,82664,,
jrccties,JRC Science Hub Communities,https://github.com/ec-europa/jrccties-reference,82667,82666,https://ec.europa.eu/jrc/communities,https://webgate.ec.europa.eu/playground-multisite/jrccties
jrcsh,EU Science Hub,https://github.com/ec-europa/jrcsh-reference,82669,82668,https://ec.europa.eu/jrc,https://webgate.ec.europa.eu/playground-multisite/jrcsh
kci,Knowledge Centre on Interpretation,https://github.com/ec-europa/kci-reference,126723,126724,NOT DEPLOY YET,NOT DEPLOY YET
know4pol,Knowledge for policy,https://github.com/ec-europa/know4pol-reference,82673,82672,https://webgate.ec.europa.eu/multisite/know4pol,https://webgate.ec.europa.eu/playground-multisite/know4pol
mare-emd,European Maritime Day,https://github.com/ec-europa/mare-emd-reference,82675,82674,https://ec.europa.eu/maritimeaffairs/maritimeday,https://webgate.ec.europa.eu/playground-multisite/mare-emd
mare-magaz,Maritime Affairs and Fisheries - Online magazine,https://github.com/ec-europa/mare-magaz-reference,82677,82676,https://ec.europa.eu/dgs/maritimeaffairs_fisheries/magazine,https://webgate.ec.europa.eu/playground-multisite/mare-magaz
mariecurie-actions,Marie SkÅ‚odowska-Curie Actions,https://github.com/ec-europa/mariecurie-actions-reference,82679,82678,https://ec.europa.eu/research/mariecurieactions,https://webgate.ec.europa.eu/playground-multisite/mariecurie
mariecurie2,Marie SkÅ‚odowska-Curie Actions,https://github.com/ec-europa/mariecurie2-reference,82681,82680,https://webgate.ec.europa.eu/multisite/mariecurie2,https://webgate.ec.europa.eu/playground-multisite/mariecurie2
maritime-affaires,Maritime affairs,https://github.com/ec-europa/maritime-affaires-reference,82683,82682,https://ec.europa.eu/maritimeaffairs,https://webgate.ec.europa.eu/playground-multisite/maritimeaffairs
maritimeforum,Maritime Forum,https://github.com/ec-europa/maritimeforum-reference,82685,82684,https://webgate.ec.europa.eu/maritimeforum,https://webgate.ec.europa.eu/playground-multisite/maritimeforum
microdata,Microdata Access Workflow Tool,https://github.com/ec-europa/microdata-reference,82687,82686,https://webgate.ec.europa.eu/multisite/microdata,https://webgate.ec.europa.eu/playground-multisite/microdata
migr-fisheries,Fisheries,https://github.com/ec-europa/migr-fisheries-reference,82689,82688,https://ec.europa.eu/fisheries,https://webgate.ec.europa.eu/playground-multisite/fisheries
migr-move,Mobility and Transport,https://github.com/ec-europa/migr-move-reference,82691,82690,https://ec.europa.eu/transport,https://webgate.ec.europa.eu/playground-multisite/transport
mossportal,Moss Portal - Taxation and customs union,https://github.com/ec-europa/mossportal-reference,82693,82692,https://webgate.ec.europa.eu/multisite/mossportal,https://webgate.ec.europa.eu/playground-multisite/mossportal
n-lex-migration,N-Lex - A common gateway to National Law,https://github.com/ec-europa/n-lex-migration-reference,82695,82694,https://webgate.ec.europa.eu/multisite/n-lex-migration,https://webgate.ec.europa.eu/playground-multisite/n-lex-migration
near,European Neighbourhood Policy And Enlargement Negotiations,https://github.com/ec-europa/near-reference,82697,82696,https://ec.europa.eu/neighbourhood-enlargement,https://webgate.ec.europa.eu/playground-multisite/near
newsroom,European Union Newsroom,https://github.com/ec-europa/newsroom-reference,82699,82698,https://europa.eu/newsroom,https://webgate.ec.europa.eu/playground-multisite/newsroom
oil-mit,OIL - MIT,https://github.com/ec-europa/oil-mit-reference,82701,82700,https://ec.europa.eu/infrastructure-logistics/mit,https://webgate.ec.europa.eu/playground-multisite/oil-mit
organic,Agriculture and rural development - Organic Farming,https://github.com/ec-europa/organic-reference,82703,82702,https://ec.europa.eu/agriculture/organic,https://webgate.ec.europa.eu/playground-multisite/organic
pics,DG TAXUD Programmes Information and Collaboration Space,https://github.com/ec-europa/pics-reference,147504,147505,https://webgate.ec.europa.eu/pics,https://webgate.ec.europa.eu/fpfis/playground-pics
pmo-contact,PMO Contact,https://github.com/ec-europa/pmo-contact-reference,82705,82704,https://ec.europa.eu/pmo/contact,https://webgate.ec.europa.eu/playground-multisite/pmocontact
ppcm,Participant Portal Content Management,https://github.com/ec-europa/ppcm-reference,82707,82706,https://intragate.ec.europa.eu/research/ppcm,https://webgate.ec.europa.eu/playground-multisite/ppcm
primeinfrastructure,Platform of Rail Infrastructure Managers in Europe,https://github.com/ec-europa/primeinfrastructure-reference,82709,82708,https://webgate.ec.europa.eu/multisite/primeinfrastructure,https://webgate.ec.europa.eu/playground-multisite/primeinfrastructure
publicare,PubliCare - The Publications Office website for its customers,https://github.com/ec-europa/publicare-reference,82711,82710,https://webgate.ec.europa.eu/multisite/publicare,https://webgate.ec.europa.eu/playground-multisite/publicare
rawmaterials,The European Innovation Partnership (EIP) on Raw Materials,https://github.com/ec-europa/rawmaterials-reference,82713,82712,https://ec.europa.eu/growth/tools-databases/eip-raw-materials/,https://webgate.ec.europa.eu/playground-multisite/rawmaterials
rebuttal,Archived,https://github.com/ec-europa/rebuttal-reference,82715,82714,https://ec.europa.eu/archives/rebuttal,https://webgate.ec.europa.eu/playground-multisite/not found
reps-austria,Representation in Austria,https://github.com/ec-europa/reps-austria-reference,82717,82716,https://ec.europa.eu/austria,https://webgate.ec.europa.eu/playground-multisite/austria
reps-barcelona,Representation in Barcelona,https://github.com/ec-europa/reps-barcelona-reference,82719,82718,https://ec.europa.eu/spain/barcelona,https://webgate.ec.europa.eu/playground-multisite/barcelona
reps-belgium,Representation in Belgium,https://github.com/ec-europa/reps-belgium-reference,82721,82720,https://ec.europa.eu/belgium,https://webgate.ec.europa.eu/playground-multisite/belgium
reps-bulgaria,Representation in Bulgaria,https://github.com/ec-europa/reps-bulgaria-reference,82723,82722,https://ec.europa.eu/bulgaria,https://webgate.ec.europa.eu/playground-multisite/bulgaria
reps-ceskarepublika,Representation in Czech Republic,https://github.com/ec-europa/reps-ceskarepublika-reference,82725,82724,https://ec.europa.eu/czech-republic,https://webgate.ec.europa.eu/playground-multisite/czech-republic
reps-croatia,Representation in Croatia,https://github.com/ec-europa/reps-croatia-reference,82727,82726,https://ec.europa.eu/croatia,https://webgate.ec.europa.eu/playground-multisite/croatia
reps-cyprus,Representation in Cyprus,https://github.com/ec-europa/reps-cyprus-reference,82729,82728,https://ec.europa.eu/cyprus,https://webgate.ec.europa.eu/playground-multisite/cyprus
reps-denmark,Representation in Denmark,https://github.com/ec-europa/reps-denmark-reference,82731,82730,https://ec.europa.eu/denmark,https://webgate.ec.europa.eu/playground-multisite/denmark
reps-deutschland,Representation in Germany,https://github.com/ec-europa/reps-deutschland-reference,82733,82732,https://ec.europa.eu/germany,https://webgate.ec.europa.eu/playground-multisite/deutschland
reps-estonia,Representation in Estonia,https://github.com/ec-europa/reps-estonia-reference,82735,82734,https://ec.europa.eu/estonia,https://webgate.ec.europa.eu/playground-multisite/estonia
reps-finland,Representation in Finland,https://github.com/ec-europa/reps-finland-reference,82737,82736,https://ec.europa.eu/finland,https://webgate.ec.europa.eu/playground-multisite/finland
reps-france,Representation in France,https://github.com/ec-europa/reps-france-reference,82739,82738,https://ec.europa.eu/france,https://webgate.ec.europa.eu/playground-multisite/france
reps-greece,Representation in Greece,https://github.com/ec-europa/reps-greece-reference,82741,82740,https://webgate.ec.europa.eu/multisite/greece,https://webgate.ec.europa.eu/playground-multisite/greece
reps-hungary,Representation in Hungary,https://github.com/ec-europa/reps-hungary-reference,82743,82742,https://ec.europa.eu/hungary,https://webgate.ec.europa.eu/playground-multisite/hungary
reps-ireland,Representation in Ireland,https://github.com/ec-europa/reps-ireland-reference,82745,82744,https://ec.europa.eu/ireland,https://webgate.ec.europa.eu/playground-multisite/ireland
reps-italy,Representation in Italy,https://github.com/ec-europa/reps-italy-reference,82747,82746,https://ec.europa.eu/italy,https://webgate.ec.europa.eu/playground-multisite/italy
reps-latvia,Representation in Latvia,https://github.com/ec-europa/reps-latvia-reference,82749,82748,https://ec.europa.eu/latvia,https://webgate.ec.europa.eu/playground-multisite/latvia
reps-lietuva,Representation in Lithuania,https://github.com/ec-europa/reps-lietuva-reference,82751,82750,https://ec.europa.eu/lithuania,https://webgate.ec.europa.eu/playground-multisite/lithuania
reps-luxembourg,Representation in Luxembourg,https://github.com/ec-europa/reps-luxembourg-reference,82753,82752,https://ec.europa.eu/luxembourg,https://webgate.ec.europa.eu/playground-multisite/luxembourg
reps-malta,Representation in Malta,https://github.com/ec-europa/reps-malta-reference,82757,82754,https://ec.europa.eu/malta,https://webgate.ec.europa.eu/playground-multisite/malta
reps-netherlands,Representation in Netherlands,https://github.com/ec-europa/reps-netherlands-reference,82759,82758,https://ec.europa.eu/netherlands,https://webgate.ec.europa.eu/playground-multisite/netherlands
reps-polska,Representation in Poland,https://github.com/ec-europa/reps-polska-reference,82761,82760,https://ec.europa.eu/poland,https://webgate.ec.europa.eu/playground-multisite/poland
reps-portugal,Representation in Portugal,https://github.com/ec-europa/reps-portugal-reference,82763,82762,https://ec.europa.eu/portugal,https://webgate.ec.europa.eu/playground-multisite/portugal
reps-romania,Representation in Romania,https://github.com/ec-europa/reps-romania-reference,82765,82764,https://ec.europa.eu/romania,https://webgate.ec.europa.eu/playground-multisite/romania
reps-slovakia,Representation in Slovakia,https://github.com/ec-europa/reps-slovakia-reference,82767,82766,https://ec.europa.eu/slovakia,https://webgate.ec.europa.eu/playground-multisite/slovaskia
reps-slovenia,Representation in Slovenia,https://github.com/ec-europa/reps-slovenia-reference,82769,82768,https://ec.europa.eu/slovenia,https://webgate.ec.europa.eu/playground-multisite/slovenia
reps-spain,Representation in Spain,https://github.com/ec-europa/reps-spain-reference,82771,82770,https://ec.europa.eu/spain,https://webgate.ec.europa.eu/playground-multisite/spain
reps-sweden,Representation in Sweden,https://github.com/ec-europa/reps-sweden-reference,82773,82772,https://ec.europa.eu/sweden,https://webgate.ec.europa.eu/playground-multisite/sweden
reps-unitedkingdom,Representation in United Kingdom,https://github.com/ec-europa/reps-unitedkingdom-reference,82775,82774,https://ec.europa.eu/unitedkingdom,https://webgate.ec.europa.eu/playground-multisite/unitedkingdom
road-safety,Mobility and Transport - Road Safety,https://github.com/ec-europa/road-safety-reference,82777,82776,https://ec.europa.eu/transport/road_safety,https://webgate.ec.europa.eu/playground-multisite/roadsafety
roma,ROMA Integration Measures Reporting Tool,https://github.com/ec-europa/roma-reference,82779,82778,https://webgate.ec.europa.eu/roma,https://webgate.ec.europa.eu/playground-multisite/roma
safety-alerts,Safety Alerts IT tool,https://github.com/ec-europa/safety_alerts-reference,82781,82780,https://webgate.ec.europa.eu/multisite/safetyalerts,https://webgate.ec.europa.eu/playground-multisite/safetyalerts
scicnet,SCICNET,https://github.com/ec-europa/scicnet-reference,82783,82782,https://webgate.ec.europa.eu/multisite/scicnet,https://webgate.ec.europa.eu/playground-multisite/scicnet
sealearning,Archived,https://github.com/ec-europa/sealearning-reference,82785,82784,https://webgate.ec.europa.eu/multisite/saelearning,https://webgate.ec.europa.eu/playground-multisite/saelearning
service-catalogue,DIGIT Service Catalogue,https://github.com/ec-europa/service-catalogue-reference,82787,82786,https://www.cc.cec/itservices,https://webgate.ec.europa.eu/playground-multisite/service-catalogue
sfc2014,System for Fund Management in the European Union,https://github.com/ec-europa/sfc2014-reference,82789,82788,https://ec.europa.eu/sfc,https://webgate.ec.europa.eu/playground-multisite/sfc2014
single-profile-server,Archived,https://github.com/ec-europa/single-profile-server-reference,82791,82790,https://webgate.ec.europa.eu/multisite/single-profile-server,https://webgate.ec.europa.eu/playground-multisite/single-profile-server
speech-repository,Speech Repository,https://github.com/ec-europa/speech-repository-reference,82793,82792,https://webgate.ec.europa.eu/sr,https://webgate.ec.europa.eu/playground-multisite/sr
sport,SPORT - Supporting fair play and cooperation in sport,https://github.com/ec-europa/sport-reference,82795,82794,https://ec.europa.eu/sport,https://webgate.ec.europa.eu/playground-multisite/sport
srb,Single Resolution Board,https://github.com/ec-europa/srb-reference,82797,82796,https://srb.europa.eu/,https://webgate.ec.europa.eu/playground-multisite/srbsite
stages,Traineeships,https://github.com/ec-europa/stages-reference,82799,82798,https://ec.europa.eu/stages,https://webgate.ec.europa.eu/playground-multisite/stages
stages2,Traineeships,https://github.com/ec-europa/stages2-reference,147517,147518,https://ec.europa.eu/stages,https://webgate.ec.europa.eu/playground-multisite/stages
taxedu,TAXEDU web-portal,https://github.com/ec-europa/taxedu-reference,82801,82800,https://webgate.ec.europa.eu/multisite/taxedu,https://webgate.ec.europa.eu/playground-multisite/taxedu
taxud,Taxation and Customs Union,https://github.com/ec-europa/taxud-reference,82803,82802,https://ec.europa.eu/taxation_customs,https://webgate.ec.europa.eu/playground-multisite/taxation
teachers-corner,Teachers' Corner,https://github.com/ec-europa/teachers-corner-reference,82805,82804,https://europa.eu/teachers-corner,https://webgate.ec.europa.eu/playground-multisite/teacherscorner
vocational-skills-week,European Vocational Skills Week,https://github.com/ec-europa/vocational-skills-week-reference,82807,82806,https://ec.europa.eu/social/vocational-skills-week,https://webgate.ec.europa.eu/playground-multisite/
workforyou,Archived,https://github.com/ec-europa/workforyou-reference,82809,82808,https://webgate.ec.europa.eu/multisite/workforyou/,https://webgate.ec.europa.eu/playground-multisite/workforyou
youthwiki,Youth Wiki,https://github.com/ec-europa/youthwiki-reference,82811,82810,https://eacea.ec.europa.eu/national-policies,https://webgate.ec.europa.eu/playground-multisite/youthwiki
youth,YOUTH - Supporting youth actions in Europe,https://github.com/ec-europa/youth-reference,82813,82812,https://ec.europa.eu/youth,https://webgate.ec.europa.eu/playground-multisite/youth